,ID,Source,date,art_type,authors,title,keywords,abstract,affiliations,publisher,doi,citations,Citations per year,Include,ML/DL techniques,Country,Spatial,Index analysed,Output produced,Variables,source,Spatial resolution,Time resolution,Comments,Accuracy,Feature selection,FS Comments,Optimization,Optimization comments,Transformation,Transformation comments,Decomposition,Decomposition comments,Outlier removal,OR comments,Gap fill,GF comments
3,2-s2.0-85094315176,Scopus,2021,Article,"Kafy A.-A., Faisal A.-A., Rahman M.S., Islam M., Al Rakib A., Islam M.A., Khan M.H.H., Sikdar M.S., Sarker M.H.S., Mawa J., Sattar G.S.","Prediction of seasonal urban thermal field variance index using machine learning algorithms in Cumilla, Bangladesh",Artificial neural network; Cellular automata; Land cover change; Urban field variance index; Urban heat island,"The intensity and formation of urban heat island (UHI) phenomena are closely related to land use/land cover (LULC) and land surface temperature (LST) change. The effect of UHI can be described quantitatively by urban thermal field variance index (UTFVI). For measuring urban health and ensuring sustainable development, the analysis of LST and UTFVI are receiving boosted attention. This study predicted LULC, seasonal (summer & winter) LST, and UTFVI variations using machine learning algorithms (MLAs) in Cumilla City Corporation (CCC), Bangladesh. Landsat 4â5 TM and Landsat 8 OLI satellite images were used for 1999, 2009, and 2019 to predict future scenarios for 2029 and 2039. MLAs such as Cellular Automata (CA) and Artificial Neural Network (ANN) methods were used to predict the future change in LULC, LST, and UTFVI. The result suggests that, in the year 2029 and 2039, the urban area will likely to be increased by around 8 % and 11 %, where significant decrease will be taken place in green cover by 9 % and 14 %. If the rapid urban growth continues, more than 30 % of the CCC area will likely to be experienced more than 33 Â°C temperature and strongest UTFVI effect in the year 2029 and 2039. In addition, an average 4 Â°C higher LST was recorded in the urban area compared with vegetation cover. In urban construction practice, avoiding concentrated impermeable layers (built-up areas) and increasing green covers, are effective ways of mitigating the effect of UTFVI. This study will contribute in achieving sustainable development and provide useful insights to understand the complex relationship among different elements of urban environments and promotion of city competence. Â© 2020 Elsevier Ltd","Department of Urban & Regional Planning, Rajshahi University of Engineering & Technology (RUET), Rajshahi, 6204, Bangladesh; ICLEI South Asia, Rajshahi City Corporation, Rajshahi, 6203, Bangladesh; GIS Unit, Operational Centre Amsterdam (OCA), MÃ©decins Sans FrontiÃ¨res (MSF), Cox's Bazar, 4750, Bangladesh; Department of Earth and Environmental Sciences, New Jersey City University, Jersey City, NJ 07305, United States; Department of Urban & Regional Planning, Chittagong University of Engineering & Technology (CUET), Chittagong, 4349, Bangladesh; Institute of Environmental Science (IES), University of Rajshahi, Rajshahi, 6205, Bangladesh",Sustainable Cities and Society,10.1016/j.scs.2020.102542,112,38,Yes,ANN(MLP),"Bangladesh,United States",Yes,"Urban Thermal Field Variance Index (UTFVI), UHI, LST",Prediction of seasonal urban thermal field variance index,Satellite imagery,"Landsat 4, 5, and 8",,,Satellite imagery was used to explore the LULC and LST change and its effect on UTFVI in the study area.,"The overall classification accuracy demonstrated excellent results with 86.04 %, 84.82 %, and 87.23 % for 1999, 2009, and 2019 respectively.",,,,,,,,,,,,
96,2-s2.0-85144074799,Scopus,2023,Article,Lin J.; Qiu S.; Tan X.; Zhuang Y.,Measuring the relationship between morphological spatial pattern of green space and urban heat island using machine learning methods,Environmental planning; Green space; Machine learning; Morphological spatial pattern analysis; Urban heat island,"Land use pattern can substantially shape urban thermal environment. Although previous studies have shown that urban heat island (UHI) intensity will be easily affected by the landscape pattern of green space, the relationship between the morphological spatial pattern of green space and UHI intensity remains to be discovered. Compared with landscape pattern, morphological spatial pattern analysis (MSPA) can reveal more specific details on the configuration and composition of land use. Therefore, this study aims to explore whether the morphological spatial pattern of land use matters to UHI using machine learning methods. Firstly, the morphological characteristics of green space were analyzed based on MSPA. Secondly, the linear associations between UHI intensity and a set of potential influencing factors (including morphological characteristics) were measured according to correlation coefficient. Lastly, the non-linear contribution of the morphological factors to UHI intensity was quantified based on random forest. An empirical case study in a rapidly-urbanized city has revealed the huge influence of morphological characteristics on UHI intensity with benchmark factors considered. The UHI intensity was negatively correlated with the cores, perforations, and loops of green space, but positively correlated with islets. Therefore, a few large core areas would be better than a large number of small islets when the total amount of green space is fixed. In addition, the fragmented patches of green space should be integrated or connected to enhance the cooling capacity. Our findings could offer some insights for UHI mitigation and land use planning, especially when the size of green space cannot be unlimitedly increased. © 2022 Elsevier Ltd","School of Geography and Remote Sensing, Guangzhou University, Guangzhou, 510006, China",Building and Environment,10.1016/j.buildenv.2022.109910,26,26,Yes,RF,China,Yes,UHII,Relationship between UHII and MSPA green areas (shape). Particurarly intersting to analyse the susceptibility based on the shape of green areas...,"MSPA
Land use
Elevation
Population
Building density and height
Road density...
MODIS for LST","National data
MODIS",,,Different type of analysis. Include a paragraph in the UHI section.,"Empty Cell        R-squared        RAE        RRSE
Benchmark        0.7914        30.94%        33.18%
Proposed        0.8397        27.19%        29.73%
",No,,,,,,,,,,,
8,2-s2.0-85122453633,Scopus,2022,Article,"Oukawa G.Y., Krecl P., Targino A.C.",Fine-scale modeling of the urban heat island: A comparison of multiple linear regression and random forest approaches,Explainable artificial intelligence; Machine learning; Multiple linear regression; Random forest; SHAP values,"Characterizing the spatiotemporal variability of the Urban Heat Island (UHI) and its drivers is a key step in leveraging thermal comfort to create not only healthier cities, but also to enhance urban resilience to climate change. In this study, we developed specific daytime and nighttime multiple linear regression (MLR) and random forest (RF) models to analyze and predict the spatiotemporal evolution of the Urban Heat Island intensity (UHII), using the air temperature (Tair) as the response variable. We profited from the wealth of in situ Tair data and a comprehensive pool of predictors variables â including land cover, population, traffic, urban geometry, weather data and atmospheric vertical indices. Cluster analysis divided the study period into three main groups, each dominated by a combination of weather systems that, in turn, influenced the onset and strength of the UHII. Anticyclonic circulations favored the emergence of the largest UHII (hourly mean of 5.06 Â°C), while cyclonic circulations dampened its development. The MLR models were only able to explain a modest percentage of variance (64 and 34% for daytime and nighttime, respectively), which we interpret as part of their inability to capture key factors controlling Tair. The RF models, on the other hand, performed considerably better, with explanatory power over 96% of the variance for daytime and nighttime conditions, capturing and mapping the fine-scale Tair spatiotemporal variability in both periods and under each cluster condition. The feature importance analysis showed that the meteorological variables and the land cover were the main predictors of the Tair. Urban planners could benefit from these results, using the high-performing RF models as a robust framework for forecasting and mitigating the effects of the UHI. Â© 2022 Elsevier B.V.","Department of Environmental Engineering, Federal University of Technology, Av. Pioneiros 3131, PR, Londrina, 86036-370, Brazil; Graduate Program in Environmental Engineering, Federal University of Technology, Av. Pioneiros 3131, PR, Londrina, 86036-370, Brazil",Science of the Total Environment,10.1016/j.scitotenv.2021.152836,49,25,Yes,"LR,RFR",Brazil,No,UHI from air temperature,UHI,"Land cover
 Topography (elevation)
 Urban geomorphology
 Population and traffic
 Meteo data
 Atmospheric vertical indexes","Sentinel 2, produced
 METAR-coded messages from Londrina (LDB) airport station, ERA5",,,,,Yes,"Feature importance analysis using SHapley Additive exPlanations (SHAP, https://github.com/slundberg/shap)", ,,Yes,Standardization,,,,,,
19,2-s2.0-85121726895,Scopus,2022,Article,"Zhang M., Zhang C., Kafy A.-A., Tan S.","Simulating the relationship between land use/cover change and urban thermal environment using machine learning algorithms in Wuhan city, China",Artificial neural network; Land use/land cover changes; Machine learning algorithms; Urban thermal environment; Wuhan,"The changes of land use/land cover (LULC) are important factor affecting the intensity of the urban heat island (UHI) effect. Based on Landsat image data of Wuhan, this paper uses cellular automata (CA) and artificial neural network (ANN) to predict future changes in LULC and LST. The results show that the built-up area of Wuhan has expanded, reaching 511.51 and 545.28 km2, while the area of vegetation, water bodies and bare land will decrease to varying degrees in 2030 and 2040. If the built-up area continues to expand rapidly, the proportion of 30~35â¦ C will rise to 52.925% and 55.219%, and the affected area with the temperature &gt;35â¦ C will expand to 15.264 and 33.612 km2, respectively. The direction of the expansion range of the LST temperature range is obviously similar to the expansion of the built-up area. In order to control and alleviate UHI, the rapid expansion of impervious layers (built-up areas) should be avoided to the greatest extent, and the cityâs âgreen developmentâ strategy should be implemented. Â© 2021 by the authors. Licensee MDPI, Basel, Switzerland.","College of Public Administration, Huazhong University of Science and Technology, Wuhan, 430079, China; College of Mechanical and Electrical Engineering, Hohai University, Changzhou, 213022, China; Department of Urban & Regional Planning, Rajshahi University of Engineering & Technology, Rajshahi, 6203, Bangladesh; ICLEI South Asia, Rajshahi City Corporation, Rajshahi, 6200, Bangladesh",Land,10.3390/land11010014,47,24,No,,"China,Bangladesh",,,,,,,,,,,,,,,,,,,,,
4,2-s2.0-85128295809,Scopus,2022,Article,"Kafy A.-A., Saha M., Faisal A.-A., Rahaman Z.A., Rahman M.T., Liu D., Fattah M.A., Al Rakib A., AlDousari A.E., Rahaman S.N., Hasan M.Z., Ahasan M.A.K.",Predicting the impacts of land use/land cover changes on seasonal urban thermal characteristics using machine learning algorithms,Land cover change; Machine learning algorithms; Prediction; Thermal comfort; Urban heat island,"Changes in land use/land cover (LULC) and land surface temperatures (LST) contribute significantly to the formation and intensity of urban heat islands (UHI) effects. The urban thermal field variance index (UTFVI) can effectively describe any city's UHI (thermal characteristics) effect. This study aims to assess and predict the seasonal (summer and winter) UTFVI scenario to evaluate the thermal characteristics of Sylhet city, Bangladesh. Landsat 4â5 TM and 8 OLI images from 1995 to 2020 were used to assess the previous status of LULC and UTFVI and predict the future changes for 2025 and 2030 using cellular automata and artificial neural network machine learning algorithms. Prediction results indicate a substantial increase in urban built-up areas by 42% and 44% in 2025 and 2035, followed by reductions in green cover (21% and 22%), bare land (20% and 21%) and water bodies (1%). The rapid expansion of built-up areas will lead to 13 km2 and 14 km2 stronger UTFVI zones in the predicted years. The study provides effective strategies for mitigating the UTFVI effects by avoiding dense infrastructural development, increasing plantation and water bodies, rooftop gardening and using white colour roofs in construction. The findings of this study will allow the urban planners, policymakers and local government to ensure an eco-friendly, inclusive and sustainable urban development through functional modification and replacement of the LULC distribution depending on the present and future circumstances. Â© 2022 Elsevier Ltd","Department of Urban & Regional Planning, Rajshahi University of Engineering & Technology (RUET), Rajshahi, 6204, Bangladesh; ICLEI South Asia, Rajshahi City Corporation, Rajshahi, 6203, Bangladesh; Department of Urban & Regional Planning, Bangladesh University of Engineering & Technology (BUET), Dhaka, Bangladesh; School of Environmental Science and Management, Independent University of Bangladesh, Bangladesh; Department of Applied Geographical Information Systems and Remote Sensing, University of Southampton, SO17 1BJ, Southampton, United Kingdom; Department of Geography & Environment, Faculty of Human Sciences, Sultan Idris Education University, Tanjung Malim, 35900, Malaysia; Department of City and Regional Planning, King Fahd University of Petroleum & Minerals, KFUPM Box 5053, Dhahran, 31261, Saudi Arabia; Department of Geography, Ohio State University, Columbus, OH, United States; Department of Urban and Regional Planning, Khulna University of Engineering and Technology, Khulna, Bangladesh; Department of Geography, Kuwait University, Kuwait City, Kuwait; Urban and Rural Planning Discipline, Khulna University, Khulna, 9208, Bangladesh; Department of Geography & Environmental Studies, University of Chittagong, Bangladesh; Department of Computer Science, Dalhousie University, Canada",Building and Environment,10.1016/j.buildenv.2022.109066,45,23,Yes,ANN,"Bangladesh,United Kingdom,Malaysia,Saudi Arabia,United States,Kuwait,Canada",No,urban thermal field variance index (UTFVI),,Land use/Land cover,Landsat 5 and 8,,,,"Prediction Year ANN model Validation for UTFVI prediction using MATLAB software
 Empty Cell No of hidden layer RMSE R
 Summer 2020 6 0.56 0.88
 Winter 2020 6 0.624 0.87",,, ,,,,,,,,,
42,2-s2.0-85079895086,Scopus,2020,Article,"Sun F., Liu M., Wang Y., Wang H., Che Y.",The effects of 3D architectural patterns on the urban surface temperature at a neighborhood scale: Relative contributions and marginal effects,3D architectural pattern; Boosted regression tree (BRT); Landscape metrics; Machine learning; Urban heat island (UHI),"Urban architecture is an important contributor to urban heat island (UHI) effects. Yet thorough investigations into how three-dimensional (3D) architectural patterns influence urban thermal conditions collectively and individually are limited. This study bridges this gap by adopting a machine learning method, boosted regression tree (BRT), to analyze the relative influences and marginal effects of 3D urban architecture on land surface temperature (LST). Ten architectural metrics are incorporated to describe the composition and configuration of 3D architectural patterns at a neighborhood scale in the typical megacity of Shanghai. The results show that in summer, the building coverage ratio (BCR), mean architecture height (MAH), mean architecture height standard deviation (AHSD) and mean architecture projection area (MAPA) are the most influential factors, with relative contributions of 39.3%, 16.5%, 12.3% and 10.4%, respectively. The regulation amplitudes (ÎT) of the dominant metrics for the neighborhood average LST temperature are 2.7 Â°C, 0.9 Â°C, 0.6 Â°C, and 0.6 Â°C, respectively. Moreover, with the LST, the BCR exhibits a monotonic positive correlation, the MAH and AHSD show a stepwise negative correlation, and the MAPA shows a combination of positive and negative correlation. It is generally recommended to decrease the development intensity and architectural base area, while increase the building height and roughness to improve the urban thermal conditions at the neighborhood scale. The dominant contributors and related marginal effects are generally consistent across different seasons. These findings can provide quantitative insights for mitigating the LST effects via rational design and management of 3D architectural patterns. Given the distinctive insights provided, the BRT method is recommended for disentangling the relationship between LST and environmental variables in upcoming studies. Â© 2020 Elsevier Ltd","Shanghai Key Lab for Urban Ecological Processes and Eco-Restoration, School of Ecological and Environmental Sciences, East China Normal University, Shanghai, 200241, China; Institute of Eco-Chongming (IEC), Shanghai, 200062, China; Key Laboratory of Forest and Management, Institute of Applied Ecology, Chinese Academy of Sciences, Shenyang, 110164, China; Department of Landscape Architecture, Center for Ecophronetic Practice Research, College of Architecture and Urban Planning, Tongji University, Shanghai, 200092, China; College of Landscape Architecture, Nanjing Forestry University, Nanjing, 210037, China",Journal of Cleaner Production,10.1016/j.jclepro.2020.120706,80,20,No,,China,,,,,,,,,,,,,,,,,,,,,
53,WOS:000535696600017,WoS,2020,Article,"Liu, Shengjie; Shi, Qian",Local climate zone mapping as remote sensing scene classification using deep learning: A case study of metropolitan China,Local climate zone; Convolutional neural network; Scene classification; Metropolitan China; Urban climate,"China, with the world's largest population, has gone through rapid development in the last forty years and now has over 800 million urban citizens. Although urbanization leads to great social and economic progress, they may be confronted with other issues, including extra heat and air pollution. Local climate zone (LCZ), a new concept developed for urban heat island research, provides a standard classification system for the urban environment. LCZs are defined by the context of the urban environment; the minimum diameter of an LCZ is expected to be 400-1,000 m so that it can have a valid effect on the urban climate. However, most existing methods (e.g., the WUDAPT method) regard this task as pixel-based classification, neglecting the spatial information. In this study, we argue that LCZ mapping should be considered as a scene classification task to fully exploit the environmental context. Fifteen cities covering 138 million population in three economic regions of China are selected as the study area. Sentinel-2 multispectral data with a 10 m spatial resolution are used to classify LCZs. A deep convolutional neural network composed of residual learning and the Squeeze-andExcitation block, namely the LCZNet, is proposed. We obtained an overall accuracy of 88.61% by using a large image (48x48 corresponding to 480x480 m(2)) as the representation of an LCZ, 7.5% higher than that using a small image representation (10x10) and nearly 20% higher than that obtained by the standard WUDAPT method. Image sizes from 32x32 to 64x64 were found suitable for LCZ mapping, while a deeper network achieved better classification with larger inputs. Compared with natural classes, urban classes benefited more from a large input size, as it can exploit the environment context of urban areas. The combined use of the training data from all three regions led to the best classification, but the transfer of LCZ models cannot achieve satisfactory results due to the domain shift. More advanced domain adaptation methods should be applied in this application.","[Liu, Shengjie] Univ Hong Kong, Dept Phys, Pokfulam, Hong Kong, Peoples R China; [Liu, Shengjie; Shi, Qian] Sun Yat Sen Univ, Sch Geog & Planning, Guangdong Prov Key Lab Urbanizat & Geosimulat, Xingang Rd West, Guangzhou 510275, Peoples R China",ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,10.1016/j.isprsjprs.2020.04.008,75,19,No,,Peoples R China,,,,,,,,,,,,,,,,,,,,,
32,2-s2.0-85124220854,Scopus,2022,Article,"Mohammad P., Goswami A., Chauhan S., Nayak S.","Machine learning algorithm based prediction of land use land cover and land surface temperature changes to characterize the surface urban heat island phenomena over Ahmedabad city, India",LST; LULC; Machine learning; Prediction; Urban growth; UTFVI,"Rapid urbanization over the world's dense urban centers cause an enormous change in the land use land cover (LULC) over a metropolitan area, which adversely affects the land surface temperature (LST) and intensify the urban heat island phenomena. The present study emphasizes the prediction of LULC, seasonal LST, and urban thermal field variance (UTFVI) over Ahmedabad city, India using multi date Landsat data. Artificial Neural Network (ANN) based Cellular Automata (CA) model is use to predict the LULC, while the XGB Regression model is used to predict seasonal LST with input data from 2010, 2015, and 2020 to predict future scenarios of 2025 and 2030. The result suggests an addition in the built-up area of about 5.77% and 13.08%, while a deduction in cropland area of about 4.15% and 12.54% is manifest in the year 2025 and 2030, respectively. This excessive urban growth in the study area will cause to face higher LST ranges of greater than 45 Â°C (24.9 km2 in 2025 and 24.2 km2 in 2030) in summer and 35 Â°C (19.9 km2 in 2025 and 43.6 km2 in 2030) in winter. The concentration of higher LST zones is evident in the rural areas than urban areas, witnessing cool urban islands. The predicted LST analysis suggests a dominant occurrence of none UTFVI zone in the city area and the strongest UTFVI zone in the surrounding rural area during both the seasons. An increase in green space area and avoidance of non-impermeable surfaces is suggest in future scenarios to mitigate UHI. Furthermore, the outcome of the research can help urban planners and policymakers while formulating urban heat island related mitigation strategies in the near-future scenario. Â© 2022 Elsevier B.V.","Department of Earth Sciences, Indian Institute of Technology, Uttarakhand, Roorkee, India; National Institute of Advanced Studies, Bengaluru, India",Urban Climate,10.1016/j.uclim.2022.101116,33,17,Yes,XGBR,India,No,"Land use land cover, land surface temperature, urban thermal field variance",prediction of land use land cover and land surface temperature changes,"Satellite imagery
 Variables for LULC prediction:
 elevation
 slope
 aspect
 distance to roads
 distance to water bodies
 distance to education
 health and bank sectors
 distance to commercial spaces
 distance to industrial areas
 distance to residential space
 population","Landsat 5 TM, Landsat 8 OLI
 Shuttle Radar Topography mission DEM
 OSM
 LandScan",,,,"The overall LULC classification accuracy of 0.89, 0.86, 0.94, 0.97, 0.84 and 0.94 was obtain for the year 1995, 2000, 2005, 2010, 2015 and 2020 respectively.
 The predicted LULC accuracy of kappa statistics values of 89.2 and 0.83 for the percentage of correctness and overall kappa.",,,,,Yes,Normalization,,,,,,
9,2-s2.0-85124904069,Scopus,2022,Article,"Chen S., Yang Y., Deng F., Zhang Y., Liu D., Liu C., Gao Z.",A high-resolution monitoring approach of canopy urban heat island using a random forest model and multi-platform observations,,"Due to rapid urbanization and intense human activities, the urban heat island (UHI) effect has become a more concerning climatic and environmental issue. A high-spatial-resolution canopy UHI monitoring method would help better understand the urban thermal environment. Taking the city of Nanjing in China as an example, we propose a method for evaluating canopy UHI intensity (CUHII) at high resolution by using remote sensing data and machine learning with a random forest (RF) model. Firstly, the observed environmental parameters, e.g., surface albedo, land use/land cover, impervious surface, and anthropogenic heat flux (AHF), around densely distributed meteorological stations were extracted from satellite images. These parameters were used as independent variables to construct an RF model for predicting air temperature. The correlation coefficient between the predicted and observed air temperature in the test set was 0.73, and the average root-mean-square error was 0.72ÄÄ C. Then, the spatial distribution of CUHII was evaluated at 30Äm resolution based on the output of the RF model. We found that wind speed was negatively correlated with CUHII, and wind direction was strongly correlated with the CUHII offset direction. The CUHII reduced with the distance to the city center, due to the decreasing proportion of built-up areas and reduced AHF in the same direction. The RF model framework developed for real-time monitoring and assessment of high spatial and temporal resolution (30Äm and 1Äh) CUHII provides scientific support for studying the changes and causes of CUHII, as well as the spatial pattern of urban thermal environments. Â© Copyright:","School of Geodesy and Geomatics, Wuhan University, Wuhan, 430079, China; Collaborative Innovation Centre on Forecast and Evaluation of Meteorological Disasters, School of Atmospheric Physics, Nanjing University of Information Science and Technology, Nanjing, 210044, China; Key Laboratory of Transportation Meteorology, China Meteorological Administration, Nanjing, 210008, China; China Meteorological Administration, Nanjing Joint Institute for Atmospheric Sciences, Nanjing, 210008, China",Atmospheric Measurement Techniques,10.5194/amt-15-735-2022,32,16,Yes,RFR,China,Yes,canopy UHI,,"Satellite imagery
 High-density automatic meteorological observation data
 anthropogenic heat flux
 DEM","Landsat 8 OLI
 -
 NOAA nighttime lights
 ASTER-GDEM",,,,"The result of the testing set shows that the average R2 and RMSE are 0.535 and 0.719ââC, respectivel",Yes,Backward selection,,,,,,,,,,
26,2-s2.0-85135717404,Scopus,2022,Article,"AlDousari A.E., Kafy A.-A., Saha M., Fattah M.A., Almulhim A.I., Faisal A.-A., Al Rakib A., Jahir D.M.A., Rahaman Z.A., Bakshi A., Shahrier M., Rahman M.M.",Modelling the impacts of land use/land cover changing pattern on urban thermal characteristics in Kuwait,Machine learning; Prediction and sustainability; Temperature increase; Thermal comfort; Urbanization; Vegetation cover,"Rapid urbanization owing to population growth and economic development has made thermal environment-related studies increasingly prominent. This study aims to monitor and predict the changes in land use/land cover (LULC) and their impacts on land surface temperature (LST), urban heat island (UHI), and urban thermal field variance Index (UTFVI) in Kuwait from 1991 to 2021 for the very first time. Support Vector Machine (SVM) and Artificial Neural Network (ANN)machine learning algorithms were used to analyze and predict, respectively, using Landsat 4-5 and 8 images from 1991 to 2021 at 10 years interval. Results illustrated transformation of 27.24% bare land and 5.43% vegetation into the built-up area increased the mean LST by 5Â°C, resulting in an upsurge of UHI values by 0.861 and the strongest UFTVI effects by 108% from 1991 to2021. Predicted LULC, LST, UHI and UTFVI distribution modelled using the ANN-based Cellular Automata technique for 2031 shows the declination of vegetation cover (44%) and water bodies (57%) during 2021â2031, resulting upsurge in built-up areas (38%) and higher LST (10Â°C). Moreover, by 2031, 41% of the total study area will be covered by the strongest UTFVI affected zones. All the prediction was performed with a higher accuracy, and validated by RMSE and R2 values with predicted and real datasets. Assessing the predicted LULC, LST, UHI, and UTFVI distribution maps will help prospective policymakers and city planners to take the necessary actions by reducing heat stress impacts and make cities sustainable. Â© 2022 Elsevier Ltd","Department of Geography, Kuwait University, Kuwait City, Kuwait; Department of Geography & the Environment, The University of Texas at Austin, Austin, TX 78712, United States; Department of Urban & Regional Planning, Bangladesh University of Engineering & Technology (BUET), Dhaka, Bangladesh; School of Environmental Science and Management, Independent University of Bangladesh, Bangladesh; Department of Urban and Regional Planning, Khulna University of Engineering and Technology, Khulna, Bangladesh; Department of Urban and Regional Planning, College of Architecture and Planning, mam Abdulrahman Bin Faisal University, P.O. Box 1982, Dammam, 31451, Saudi Arabia; Department of Applied Geographical information Systems and Remote Sensing, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Department of Urban & Regional Planning, Rajshahi University of Engineering & Technology (RUET), Rajshahi, 6204, Bangladesh; School of Science, Computing and Engineering Technologies, Swinburne University of Technology, Melbourne, Australia; Department of Geography & Environment, Faculty of Human Sciences, Sultan Dris Education University, Tanjung Malim, 35900, Malaysia; Department of Civil Engineering, Rajshahi University of Engineering and Technology, Rajshahi, Bangladesh; Department of Geography & Environment, Jagannath University, Dhaka, Bangladesh",Sustainable Cities and Society,10.1016/j.scs.2022.104107,30,15,Yes,ANN,"Kuwait,United States,Bangladesh,Saudi Arabia,United Kingdom,Australia,Malaysia",No,"LULC, LST, UHI, UTFVI","Changes of LULC and their impact on summer LST, UHI and UTFVI","Landsat regular bands for LULC, and Landsat thermal bands for UHI,LST,UTFVI",Landsat 5 and Landsat 8,30m and 60 m,,"All of these datasets were transformed to 30 m cell sizes and projected precisely at the WGS 84/UTM zone 46 N projection method.
 LULC classes: water body, built-up area, vegetative cover, and barren land.
 Several prediction models have been introduced for predicting LULC and LST, such as CLUE (Conversion of land use and its effects), LTM (Land transformation model), FLM (Fuzzy logic model), ANN (Artificial neural network) model, Frequency Ratio model, and so on.", ,,,,,,,,,,,,
