,ID,Source,date,art_type,authors,affiliations,title,keywords,abstract,publisher,doi,citations,Citations per year,Include,ML/DL techniques,Ensemble/stacked models,Spatial,Country,Type of modelling,Pollutant analysed,Output produced,Pollutants considered,Pollutants source,Spatial resolution,Time resolution,Other data,Source of other data,Spatial resolution.1,Time resolution.1,Comments,Accuracy,Feature selection,FS Comments,Optimization,Optimization comments,Transformation,Transformation comments,Decomposition,Decomposition comments,Outlier removal,OR comments,Gap fill,GF comments,geospatial study description
17,2-s2.0-85082428008,Scopus,2020,Article,"Wei J., Li Z., Cribb M., Huang W., Xue W., Sun L., Guo J., Peng Y., Li J., Lyapustin A., Liu L., Wu H., Song Y.","State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing, China; Department of Atmospheric and Oceanic Science, Earth System Science Interdisciplinary Center, University of Maryland, College Park, MD, United States; State Key Laboratory of Remote Sensing Science, Faculty of Geographical Science, Beijing Normal University, Beijing, China; College of Geomatics, Shandong University of Science and Technology, Qingdao, China; State Key Laboratory of Severe Weather, Chinese Academy of Meteorological Sciences, Beijing, China; Ministry of Education Key Laboratory for Earth System Modeling, Department of Earth System Science, Tsinghua University, Beijing, China; Department of Atmospheric and Oceanic Sciences, School of Physics, Peking University, Beijing, China; Laboratory for Atmospheres, NASA Goddard Space Flight Center, Greenbelt, MD, United States; College of Earth and Environmental Sciences, Lanzhou University, Lanzhou, China; Faculty of Architecture, University of Hong Kong, Hong Kong, Hong Kong",Improved 1&thinsp;km resolution PM2.5 estimates across China using enhanced space-time extremely randomized trees,,"Fine particulate matter with aerodynamic diameters ? 2:5 ?m (PM2:5) has adverse effects on human health and the atmospheric environment. The estimation of surface PM2:5 concentrations has made intensive use of satellitederived aerosol products. However, it has been a great challenge to obtain high-quality and high-resolution PM2:5 data from both ground and satellite observations, which is essential to monitor air pollution over small-scale areas such as metropolitan regions. Here, the space-time extremely randomized trees (STET) model was enhanced by integrating updated spatiotemporal information and additional auxiliary data to improve the spatial resolution and overall accuracy of PM2:5 estimates across China. To this end, the newly released Moderate Resolution Imaging Spectroradiometer Multi-Angle Implementation of Atmospheric Correction AOD product, along with meteorological, topographical and land-use data and pollution emissions, was input to the STET model, and daily 1 km PM2:5 maps for 2018 covering mainland China were produced. The STET model performed well, with a high out-of-sample (out-of-station) cross-validation coefficient of determination (R2) of 0.89 (0.88), a low rootmean-square error of 10.33 (10.93) ?gm-3, a small mean absolute error of 6.69 (7.15) ?gm-3 and a small mean relative error of 21.28% (23.69 %). In particular, the model captured well the PM2:5 concentrations at both regional and individual site scales. The North China Plain, the Sichuan Basin and Xinjiang Province always featured high PM2:5 pollution levels, especially in winter. The STET model outperformed most models presented in previous related studies, with a strong predictive power (e.g., monthly R2 D 0:80), which can be used to estimate historical PM2:5 records. More importantly, this study provides a new approach for obtaining high-resolution and high-quality PM2:5 dataset across mainland China (i.e., ChinaHighPM2:5), important for air pollution studies focused on urban areas. Â© Author(s) 2020.",Atmospheric Chemistry and Physics,10.5194/acp-20-3273-2020,290,73,Yes,STERT,,Yes,"China,United States,Hong Kong",,PM2.5,1km resolution PM2.5 estimates,PM2.5,AERONET (CNEMC),"point (station, 1583)",Hourly averaged to daily,"MAIAC aerosol
 Meteo data
 Land cover (LULC, NDVI)
 topography (DEM, relief,slope,aspect)
 Other pollutants (SO2,NO2,CO,VOC,Dust)
 Population(nighttime lights)","MODIS terra and acqua
 ERA-Interin
 MCD12Q1, MOD13A3
 STRM
 MEIC
 VIIRS","1km
 0.125Â° x 0.125Â°
 500m x 500m
 90m x 90m 
 0.25Â° x 0.25Â°
 500 m x 500m","Daily
 3h or 6h
 annually, monthly
 -
 monthly
 monthly",,"high out-of-sample (out-of-station) cross-validation coefficient of determination (R2) of 0.89 (0.88), a low root-mean-square error of 10.33 (10.93)âÂµgâmâ3, a small mean absolute error of 6.69 (7.15)âÂµgâmâ3 and a small mean relative error of 21.28â% (23.69â%). I",Yes,Gini (GI) index,NS,,NS,,NS,,NS,,Yes,By merging Terra and Acqua measurements to obtain a larger coverage,"the Haversine approach is selected to calculate the great-circle distance between two points on a sphere specified by their latitudes and longitudes (Eqs. 5â7). This approach can avoid the problem of insufficient effective numbers due to the short distance between two points by using sines, used to represent the space term (Ps). In addition, instead of using the day of the year (DOY), the time radian difference for each point on different days in a year is calculated (Eq. 8) to minimize the impact of the seasonal cycle and is selected to represent the time term (PT). These two improved spaceâtime terms can account for the spatiotemporal autocorrelations of PM2.5 between different points for each day and between consecutive time series at the same place."
26,2-s2.0-85098690492,Scopus,2021,Article,"Yan R., Liao J., Yang J., Sun W., Nong M., Li F.","School of Geography and Planning, Sun Yat-Sen University, Guangzhou, Guangdong 510275, China; Key Laboratory of Land Surface Pattern and Simulation, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China; Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China; State Key Laboratory of Resources and Environmental Information System, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China; Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), Zhuhai, 519082, China; Institute for Energy, Environment and Sustainable Communities, University of Regina, Regina, SK S4S 0A2, Canada","Multi-hour and multi-site air quality index forecasting in Beijing using CNN, LSTM, CNN-LSTM, and spatiotemporal clustering",AQI; CNN; Forecasting; LSTM; Spatiotemporal clustering,"Effective air quality forecasting models are helpful for timely prevention and control of air pollution. However, the spatiotemporal distribution characteristics of air quality have not been fully considered in previous model development. This study attempts to establish a multi-time, multi-site forecasting model of Beijing's air quality by using deep learning network models based on spatiotemporal clustering and to compare them with a back-propagation neural network (BPNN). For the overall forecasting, the performances in next-hour forecasting were ranked in ascending order of the BPNN, the convolutional neural network (CNN), the long short-term memory (LSTM) model, and the CNN-LSTM, with the LSTM as the optimal model in the multiple-hour forecasting. The performance of the seasonal forecasting was not significantly improved compared to the overall forecasting. For the spatial clustering-based forecasting, cluster 2 forecasting generally outperforms cluster 1 and the overall forecasting. Overall, either the seasonal or the spatial clustering-based forecasting is more suitable for the improvement of the forecasting in a certain season or cluster. In terms of model type, both the CNN-LSTM and the LSTM generally have better performance than the CNN and the BPNN. Â© 2020 Elsevier Ltd",Expert Systems with Applications,10.1016/j.eswa.2020.114513,183,61,Yes,"BPNN,CNN,LSTM",,Yes,"China,Canada",,AQI,next 1-6h AQI,"Air quality data CO Î¼g/m3 0.1 10.0 [0, 1]
 
 NO2 Î¼g/m3 2 290 [0, 1]
 
 O3 Î¼g/m3 1 500 [0, 1]
 
 PM2.5 Î¼g/m3 3 999 [0, 1]
 
 PM10 Î¼g/m3 3 999 [0, 1]
 
 SO2 Î¼g/m3 2 500 [0, 1]",in situ stations,point,hourly,"Meteorological data Precipitation mm 0.0 52.1 [0, 1]
 Temperature â â19.9 39.3 [0, 1]
 Dew point â â36 27.5 [0, 1]
 Pressure hPa 982.4 1042.8 [0, 1]
 Wind speed m/s 0.0 11.2 [0, 1]
 Wind direction Â° 0.0 337.5 [0, 1]
 Spatiotemporal data Longitude Â° 116.17 116.72 [0, 1]
 Latitude Â° 39.87 40.39 [0, 1]
 Distance from Tiananmen Gate m 4797.95 57311.36 [0, 1]
 Season â 1 4 [0, 1]
 Weekday â 0 1 [0, 1]
 Hour â 0 23 [0, 1]",in situ,point,hourly,,,,,,,,,,,,,,,
807,WOS:000695530700064,WoS,2021,Article,"Geng, Guannan; Xiao, Qingyang; Liu, Shigan; Liu, Xiaodong; Cheng, Jing; Zheng, Yixuan; Xue, Tao; Tong, Dan; Zheng, Bo; Peng, Yiran; Huang, Xiaomeng; He, Kebin; Zhang, Qiang","[Geng, Guannan; Xiao, Qingyang; Liu, Xiaodong; He, Kebin] Tsinghua Univ, Sch Environm, State Key Joint Lab Environm Simulat & Pollut Con, Beijing 100084, Peoples R China; [Geng, Guannan; He, Kebin] State Environm Protect Key Lab Sources & Control, Beijing 100084, Peoples R China; [Liu, Shigan; Cheng, Jing; Tong, Dan; Peng, Yiran; Huang, Xiaomeng; Zhang, Qiang] Tsinghua Univ, Dept Earth Syst Sci, Minist Educ, Key Lab Earth Syst Modelling, Beijing 100084, Peoples R China; [Zheng, Yixuan] Chinese Acad Environm Planning, Ctr Air Qual Simulat & Syst Anal, Beijing 100012, Peoples R China; [Xue, Tao] Peking Univ, Sch Publ Hlth, Inst Reprod & Child Hlth, Minist Hlth,Key Lab Reprod Hlth, Beijing 100191, Peoples R China; [Xue, Tao] Peking Univ, Sch Publ Hlth, Dept Epidemiol & Biostat, Beijing 100191, Peoples R China; [Zheng, Bo] Tsinghua Univ, Tsinghua Shenzhen Int Grad Sch, Inst Environm & Ecol, Shenzhen 518055, Peoples R China",Tracking Air Pollution in China: Near Real-Time PM2.5 Retrievals from Multisource Data Fusion,PM2.5; random forest; air pollution; exposure assessment; satellite remote sensing,"Air pollution has altered the Earth's radiation balance, disturbed the ecosystem, and increased human morbidity and mortality. Accordingly, a full-coverage high-resolution air pollutant data set with timely updates and historical long-term records is essential to support both research and environmental management. Here, for the first time, we develop a near real-time air pollutant database known as Tracking Air Pollution in China (TAP, http://tapdata.org.cn/) that combines information from multiple data sources, including ground observations, satellite aerosol optical depth (AOD), operational chemical transport model simulations, and other ancillary data such as meteorological fields, land use data, population, and elevation. Daily full-coverage PM2.5 data at a spatial resolution of 10 km is our first near real-time product. The TAP PM2.5 is estimated based on a two-stage machine learning model coupled with the synthetic minority oversampling technique and a tree-based gap-filling method. Our model has an averaged out-of-bag cross-validation R-2 of 0.83 for different years, which is comparable to those of other studies, but improves its performance at high pollution levels and fills the gaps in missing AOD on daily scale. The full coverage and near real-time updates of the daily PM2.5 data allow us to track the day-to-day variations in PM2.5 concentrations over China in a timely manner. The long-term records of PM2.5 data since 2000 will also support policy assessments and health impact studies. The TAP PM2.5 data are publicly available through our website for sharing with the research and policy communities.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,10.1021/acs.est.1c01863,158,53,Yes,RF,,No,Peoples R China,,,,,,,,,,,,,,,,,,,,,,,,,,
33,WOS:000649587600007,WoS,2021,Article,"Du, Shengdong; Li, Tianrui; Yang, Yan; Horng, Shi-Jinn","[Du, Shengdong; Li, Tianrui; Yang, Yan] Southwest Jiaotong Univ, Sch Informat Sci & Technol, Chengdu, Sichuan, Peoples R China; [Horng, Shi-Jinn] Natl Taiwan Univ Sci & Technol, Dept Comp Sci & Informat Engn, Taipei, Taiwan; [Horng, Shi-Jinn] Univ Technol Sydney, Sch Comp Sci, Ultimo, NSW 2007, Australia",Deep Air Quality Forecasting Using Hybrid Deep Learning Framework,Air quality; Forecasting; Atmospheric modeling; Time series analysis; Deep learning; Predictive models; Data models; Air quality forecasting; deep learning; convolutional neural networks; long short-term memory networks,"Air quality forecasting has been regarded as the key problem of air pollution early warning and control management. In this article, we propose a novel deep learning model for air quality (mainly PM2.5) forecasting, which learns the spatial-temporal correlation features and interdependence of multivariate air quality related time series data by hybrid deep learning architecture. Due to the nonlinear and dynamic characteristics of multivariate air quality time series data, the base modules of our model include one-dimensional Convolutional Neural Networks (1D-CNNs) and Bi-directional Long Short-term Memory networks (Bi-LSTM). The former is to extract the local trend features and spatial correlation features, and the latter is to learn spatial-temporal dependencies. Then we design a jointly hybrid deep learning framework based on one-dimensional CNNs and Bi-LSTM for shared representation features learning of multivariate air quality related time series data. We conduct extensive experimental evaluations using two real-world datasets, and the results show that our model is capable of dealing with PM2.5 air pollution forecasting with satisfied accuracy.",IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,10.1109/tkde.2019.2954510,150,50,Yes,"STLSTM,ARIMA,SVM,GRU,LSTM,RNN,CNN",,Yes,"Peoples R China,Taiwan,Australia",,PM2.5,Forecast,"PM2.5, PM10, SO2",Beijing air quality dataset,1 station,hourly,"PM.25
 Meteo data",in situ University of california Irvine (UCI) Urban Air Quality Dataset,36 stations,hourly,,"RMSE, MAE",Yes,Within the CNN-LSTM (automatic).,Yes,dropout policy with 0.3 probability.,,,NS,,NS,,NS,,"CNN 1D, directly in the model, no extra information added"
20,2-s2.0-85074137053,Scopus,2020,Article,"Pak U., Ma J., Ryu U., Ryom K., Juhyok U., Pak K., Pak C.","Department of Automation Engineering, Kim Chaek University of Technology, Pyongyang, 950003, North Korea; Department of Geology, Kim Il Sung University, Pyongyang, 999093, North Korea; School of Information Science, Kim Il Sung University, Pyongyang, 999093, North Korea; Department of Metallurgical Engineering, Kim Chaek University of Technology, Pyongyang, 950003, North Korea; Digital Library, Kim Chaek University of Technology, Pyongyang, 950003, North Korea; Information Center, Kim Chaek University of Technology, Pyongyang, 950003, North Korea","Deep learning-based PM2.5 prediction considering the spatiotemporal correlations: A case study of Beijing, China",CNN; Deep learning; LSTM; PM predictor; PM2.5 prediction; Spatiotemporal correlation,"Air pollution is one of the serious environmental problems that humankind faces and also a hot topic in Northeastern Asia. Therefore, the accurate prediction of PM2.5 (particulate matter with an aerodynamic diameter of ?2.5 ?m) is very significant in the management of human health and the decision-making of government for the environmental management. In this study, a spatiotemporal convolutional neural network (CNN) and long short-term (LSTM) memory (CNN-LSTM) model (also called PM (particulate matter) predictor) was proposed and used to predict the next day's daily average PM2.5 concentration in Beijing City. The spatiotemporal correlation analysis using the mutual information (MI) was performed, considering not only the linear correlation but also nonlinear correlation between target and observation parameters; in addition, it was fully considered for the whole area of China with the target monitoring station as the center and also for the historic air quality and meteorological data. As a result, the spatiotemporal feature vector (STFV) which reflects both linear and nonlinear correlations between parameters was effectively constructed. The PM predictor secured a fast and accurate prediction performance by efficiently extracting the inherent features of the latent air quality and meteorological input data associated with PM2.5 through CNN and by fully reflecting the long-term historic process of input time series data through LSTM. The air quality and meteorological data from the 384 monitoring stations which represents the whole area of China with Beijing City as the center during the 3 years (Jan. 1st, 2015 to Dec. 31th, 2017) were used to verify the validity of the proposed method. In conclusion, the proposed method was proved to have a better stability and prediction performance compared to multi-layer perceptron (MLP) and LSTM models. Â© 2019",Science of the Total Environment,10.1016/j.scitotenv.2019.07.367,192,48,Yes,"STLSTM,LSTM,MLP",,Yes,North Korea,,PM2.5,Next day's daily average PM2.5 concentration,"1 PM2.5 â³ Î¼g/m3
 2 PM10 â³ Î¼g/m3
 3 SO2 â³ Î¼g/m3
 4 CO â³ ã/m3
 5 NO2 â³ Î¼g/m3
 6 O3 8-h average Î¼g/m3",in situ stations,point,daily,"7 Maximum temperature (maxt) Daily data Â°C
 
 8 Minimum temperature (mint) â³ Â°C
 
 9 Weather Grade (weag) â³ â
 
 10 Wind Direction (wind) â³ â
 
 11 Wind Grade (wing) â³ â",,point,daily,,,,,,,,,,,,,,,
615,2-s2.0-85086179454,Scopus,2020,Article,"Chang Y.-S., Chiao H.-T., Abimannan S., Huang Y.-P., Tsai Y.-T., Lin K.-M.","National Taipei University, Sanxia District, New Taipei City, 237, Taiwan; Tunghai University, Taiwan Boulevard, Xitun District, Taichung City, 407, Taiwan; Galgotias University, Greater Noida, Uttar Pradesh, India; National Taipei University of Technology, Taipei City, Taiwan",An LSTM-based aggregated model for air pollution forecasting,Air pollution; ALSTM; ANN; LSTM; PM2.5,"During the past few years, severe air-pollution problem has garnered worldwide attention due to its effect on health and wellbeing of individuals. As a result, the analysis and prediction of air pollution has attracted a good deal of interest among researchers. The research areas include traditional machine learning, neural networks and deep learning. How to effectively and accurately predict air pollution becomes an important issue. In this paper, we propose an Aggregated LSTM (Long Short-Term Memory) model (ALSTM) based on the LSTM deep learning method. In this new model, we combine local air quality monitoring station, the station in nearby industrial areas, and the stations for external pollution sources. To improve prediction accuracy, we aggregate three LSTM models into a predictive model for early predictions based on external sources of pollution and information from nearby industrial air quality stations. We exploited the data with 17 attributes collected by Taiwan Environmental Protection Agency from 2012 to 2017 as the training data to build the ALSTM forecasting model, and we tested the model using the data collected in 2018. We conducted some experiments to compare our new ALSTM model with SVR (Support Vector Machine based Regression), GBTR (Gradient Boosted Tree Regression), LSTM, etc., in the prediction of PM2.5 for 1Â8 h, and evaluated them using various assessment techniques, such as MAE, RMSE, and MAPE. The results reveal that the proposed aggregated model can effectively improve the accuracy of prediction. Â© 2020 Turkish National Committee for Air Pollution Research and Control",Atmospheric Pollution Research,10.1016/j.apr.2020.05.015,176,44,Yes,"LSTM,SVM,GBDT",,No,"Taiwan,India",,,,,,,,,,,,,,,,,,,,,,,,,,
491,2-s2.0-85097345307,Scopus,2021,Article,"Memarzadeh G., Keynia F.","Department of Power and Control Engineering, Graduate University of Advanced Technology, Kerman, Iran; Department of Energy Management and Optimization, Institute of Science and High Technology and Environmental Sciences, Graduate University of Advanced Technology, Kerman, Iran",Short-term electricity load and price forecasting by a new optimal LSTM-NN based prediction algorithm,Feature selection; Load forecast; LSTM; Neural networks; Wavelet transform,"Nowadays, a basic commodity for a human being to lead a standard lifestyle with human comfort irrespective of the nature of environmental conditions is electric power. The electricity load demand increases tremendously especially for a metropolitan city due to climatic conditions, population growth, local area development, industries expansion, air pollution, thermal device usage, etc. Hence, the accuracy of electricity load and its price forecasting is a deciding factor for the power distribution network to retain as an efficient, sustainable, and secure consumer-friendly network. On the other hand, based on the volatile, intermittent, and uncertain behavior of electricity load and price, an accurate, and robust forecast model should be designed. In this paper, a new hybrid forecast model for short-term electricity load and price prediction has been developed. The proposed method includes three modules: wavelet transform that is used to eliminate fluctuation behaviors of the electricity load and price time series, feature selection based on entropy and mutual information has been proposed to rank candidate inputs and eliminate redundant inputs according to their information value, and a new learning algorithm. The proposed learning method consists of a deep learning algorithm with LSTM networks which improves the accuracy of predictions. The performance of the proposed method has been validated successfully on load and price data collected from the Pennsylvania-New Jersey-Maryland (PJM) and Spain electricity markets. Also, for further test, the load data in Iran have been used. Â© 2020 Elsevier B.V.",Electric Power Systems Research,10.1016/j.epsr.2020.106995,123,41,No,,,,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2-s2.0-85120321423,Scopus,2022,Article,A?bulut Ã.,"Department of Mechanical Engineering, Faculty of Engineering, DÃ¼zce University, DÃ¼zce, 81620, Turkey",Forecasting of transportation-related energy demand and CO2 emissions in Turkey with different machine learning algorithms,Carbon footprints; CO2 emissions; Energy demand; GHG emissions; Transportation sector,"Adverse impacts of the transportation sector on not only air quality but also economic growth of a country are nowadays well-noticed, particularly by developing countries. Today, the transportation sector is powered by burning the fossil-based fuels at more than 99% and approximately 6.5 million deaths annually occur due to air-pollution-related diseases worldwide. Therefore, knowledge of both energy demand and CO2 emission of a country is a very significant issue in order to revise its future energy investments and policies. In this framework, three machine learning algorithms (deep learning (DL), support vector machine (SVM), and artificial neural network (ANN)) are used to forecast the transportation-based-CO2 emission and energy demand in Turkey. The gross domestic product per capita (GDP), population, vehicle kilometer, and year are used as input parameters in the study. It is noticed that there is a very high correlation among year, economic indicators, population, vehicle kilometer, transportation-based energy demand, and CO2 emissions. To present a better comparison, the results of these algorithms are discussed with six frequently used statistical metrics (R2, RMSE, MAPE, MBE, rRMSE, and MABE). For all machine learning algorithms, R2 values are varying between 0.8639 and 0.9235, and RMSE is smaller than 5 Ã 106 tons for CO2 emission and 2 Mtoe for energy demand. According to the classifications in the literature, the forecast results are generally categorized as ""excellent"" for rRMSE metric (&lt;10%), and Âhigh prediction accuracyÂ for MAPE metric (&lt;10%). On the other hand, with two mathematical models, future energy demand and CO2 emission arising from the transportation sector in Turkey are forecasted by the year 2050. In the results, it is forecasted that the annual growth rate for transportation-related energy demand and CO2 emission in Turkey cumulatively rise by 3.7% and 3.65%, respectively. Both energy demand and CO2 emissions from the transportation sector in Turkey will increase nearly 3.4 times higher in the year 2050 than those of today. In conclusion, the paper clearly reports that the future energy investments of the country should be revised, and various policies, regulations, norms, restrictions, legislations, and challenges on both energy consumption and emission mitigation from the transportation sector should be established by the policy-makers. Â© 2021 Institution of Chemical Engineers",Sustainable Production and Consumption,10.1016/j.spc.2021.10.001,77,39,No,,,,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2-s2.0-85122934455,Scopus,2022,Article,"Tian J., Liu Y., Zheng W., Yin L.","School of Automation, University of Electronic Science and Technology of China, Chengdu, 610054, China; Department of Geography and Anthropology, Louisiana State University, Baton Rouge, LA 70803, United States",Smog prediction based on the deep belief - BP neural network model (DBN-BP),Air pollution; Deep belief -back propagation neural network; Haze; In-depth prediction; PM10; PM2.5,"Smog pollution is becoming a significant problem for people worldwide, becoming an essential threat to the global environment. Many studies on haze already exist, which still need to continue in-depth research to better deal with haze problems. Due to its unique geographical environment, Sichuan has become one of the areas with severe smog pollution. Therefore, the research and prediction of smog pollution in Sichuan has become an urgent need. This paper proposes a deep learning technology based on a Deep Belief-Back Propagation neural network. It makes in-depth prediction research by using the air pollution data of PM2.5, PM10, O3, CO NO2, and SO2 in Sichuan smog to provide a decision-making basis for predicting and preventing smog polluted weather. According to the prediction results of the model, the concentrations of PM2.5 and PM10 in Chengdu were predicted. The analysis shows that the larger the number of hidden layers in the belief network, the higher the prediction accuracy. Under the same network, the prediction accuracy of PM2.5 is significantly higher than that of PM10. Compared with the traditional Back Propagation neural network, the prediction effect of the Deep Belief-Back Propagation neural network is better. Â© 2022 Elsevier B.V.",Urban Climate,10.1016/j.uclim.2021.101078,75,38,No,,,,"China,United States",,,,,,,,,,,,,,,,,,,,,,,,,,
706,2-s2.0-85076096247,Scopus,2020,Article,"Al-Janabi S., Mohammad M., Al-Sultan A.","Department of Computer Science, Faculty of Science for Women (SCIW), University of Babylon, Babylon, Iraq",A new method for prediction of air pollution based on intelligent computation,Air pollutants; Analytical solution; Big data; Intelligent computation; Long short-term memory; Particle swarm algorithm; Prediction,"The detection and treatment of increasing air pollution due to technological developments represent some of the most important challenges facing the world today. Indeed, there has been a significant increase in levels of environmental pollution in recent years. The aim of the work presented herein is to design an intelligent predictor for the concentrations of air pollutants over the next 2Â days based on deep learning techniques using a recurrent neural network (RNN). The best structure for its operation is then determined using a particle swarm optimization (PSO) algorithm. The new predictor based on intelligent computation relying on unsupervised learning, i.e., long short-term memory (LSTM) and optimization (i.e., PSO), is called the smart air quality prediction model (SAQPM). The main goal is to predict six the concentrations of six types of air pollution, viz. PM2.5 particulate matter, PM10, particulate matter, nitrogen dioxide (NO2), carbon monoxide (CO), ozone (O3), and sulfur dioxide (SO2). SAQPM consists of four stages. The first stage involves data collection from multiple stations (35 in this case). The second stage involves preprocessing of the data, including (a) separation of each station with an independent focus, (b) handle missing values, and (c) normalization of the dataset to the range of (0, 1) using the MinMaxScalar method. The third stage relates to building the predictor based on the LSTM method by identifying the best structure and parameter values (weight, bias, number of hidden layers, number of nodes in each hidden layer, and activation function) for the network using the functional PSO algorithm to achieve a goal. Thereafter, the dataset is split into training and testing parts based on the ten cross-validation principle. The training dataset is then used to build the predictor. In the fourth stage, evaluation results for each station are obtained by reading the concentration of each pollutant each hour for at most 30Â days then taking the average of the symmetric mean absolute percentage error (SMAPE) for 25Â days only. Â© 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",Soft Computing,10.1007/s00500-019-04495-1,139,35,Yes,LSTM,,No,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,
